name,area,address,walk_minutes,bike_minutes,walk_distance_meters,straight_line_meters,google_maps_uri,website_uri,sources
Westwood Village Rotary Club,"University of California, Los Angeles","480 Charles E Young Dr E, Los Angeles, CA 90095",,,,512,https://maps.google.com/?cid=16667623785244082389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://wvrc.net/,targeted
Sheats Apartments,UCLA Health BirthPlace Westwood,"10919 Strathmore Dr, Los Angeles, CA 90024",,,,520,https://maps.google.com/?cid=5462452353290778935&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"broad,targeted"
Ariel Court,UCLA Health BirthPlace Westwood,"535 Gayley Ave, Los Angeles, CA 90024",,,,557,https://maps.google.com/?cid=3709224840317962856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.decron.com/apartments/ca/los-angeles/ariel-court/?utm_source=GBP&utm_medium=organic,"broad,targeted"
Sunset Village Canyon Point,UCLA Store,"200 De Neve Dr, Los Angeles, CA 90024",,,,569,https://maps.google.com/?cid=4394480875995682559&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://reslife.ucla.edu/on-campus/canyon-point,"broad,targeted"
Sycamore Court,UCLA Store,"Sycamore Ct, Los Angeles, CA",,,,569,https://maps.google.com/?cid=11203878484161882324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,targeted
UCLA University apartments,UCLA Health BirthPlace Westwood,"456 Landfair Ave, Los Angeles, CA 90024",,,,633,https://maps.google.com/?cid=10268588463989979185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,targeted
Sunset Village Delta Terrace,UCLA Store,"330 De Neve Dr, Los Angeles, CA 90024",,,,648,https://maps.google.com/?cid=971358267132409974&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://reslife.ucla.edu/on-campus/delta-terrace,"broad,targeted"
Atrium,UCLA Health BirthPlace Westwood,"10965 Strathmore Dr, Los Angeles, CA 90024",,,,685,https://maps.google.com/?cid=3201316162008640268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.atrium-westwood.com/?utm_knock=g,"broad,targeted"
Glenrock Suites,UCLA Health BirthPlace Westwood,"505 Glenrock Ave, Los Angeles, CA 90024",,,,691,https://maps.google.com/?cid=601382341266300348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://glenrocksuites.com/,broad
Village Villa Apartments,UCLA Health BirthPlace Westwood,"445 Landfair Ave, Los Angeles, CA 90024",,,,703,https://maps.google.com/?cid=15398321607653698500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.villagevillaapartments.com/,targeted
Rieber Terrace,UCLA Store,"270 De Neve Dr, Los Angeles, CA 90024",,,,718,https://maps.google.com/?cid=15731944685377150809&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://reslife.ucla.edu/rieber-terrace,"broad,targeted"
eight70,"Luxurious Wilshire Corridor Condo Near UCLA, Century City, Beverly Hills","870 Hilgard Ave, Los Angeles, CA 90024",,,,746,https://maps.google.com/?cid=12567099123699363292&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.hilgardhomes.com/,"broad,targeted"
888 Hilgard,Westwood Plaza,"888 Hilgard Ave, Los Angeles, CA 90024",,,,766,https://maps.google.com/?cid=9296663614554877319&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.888hilgard.com/,"broad,targeted"
430 Kelton,UCLA Health BirthPlace Westwood,"430 Kelton Ave, Los Angeles, CA 90024",,,,792,https://maps.google.com/?cid=11675085645516099021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.430kelton.com/?utm_knock=plc,"broad,targeted"
Gayley Heights,UCLA Health Westwood 200 Primary Care,"10995 Le Conte Ave, Los Angeles, CA 90024",,,,794,https://maps.google.com/?cid=14220161698965738490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://portal.housing.ucla.edu/single-undergraduate-university-apartments,"broad,targeted"
Westwood Executive House,UCLA Health BirthPlace Westwood,"424 Kelton Ave, Los Angeles, CA 90024",,,,796,https://maps.google.com/?cid=9688023242632532656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.apartments.com/westwood-executive-house-los-angeles-ca/yq6sn4s/,broad
